smk_id,smk_latitude,smk_longitude,wof_id,wof_parentid,wof_name,wof_placetype
953,55.799089934684744,11.553263711639392,1394014017,85682589,Odsherred,localadmin
953,55.799089934684744,11.553263711639392,1159297935,85682589,,localadmin
951,55.79905362186054,11.555109071441638,85682589,85633121,Zealand,region
951,55.79905362186054,11.555109071441638,1159297935,85682589,,localadmin
951,55.79905362186054,11.555109071441638,1394014017,85682589,Odsherred,localadmin
951,55.79905362186054,11.555109071441638,85633121,102191581,Denmark,country
958,55.79896121241492,11.553617763229358,85682589,85633121,Zealand,region
958,55.79896121241492,11.553617763229358,1159297935,85682589,,localadmin
958,55.79896121241492,11.553617763229358,85633121,102191581,Denmark,country
958,55.79896121241492,11.553617763229358,1394014017,85682589,Odsherred,localadmin
955,55.79868938369247,11.554486798950183,85682589,85633121,Zealand,region
955,55.79868938369247,11.554486798950183,1159297935,85682589,,localadmin
955,55.79868938369247,11.554486798950183,85633121,102191581,Denmark,country
955,55.79868938369247,11.554486798950183,1394014017,85682589,Odsherred,localadmin
952,55.79870044825625,11.554197120376575,85682589,85633121,Zealand,region
952,55.79870044825625,11.554197120376575,1394014017,85682589,Odsherred,localadmin
952,55.79870044825625,11.554197120376575,1159297935,85682589,,localadmin
952,55.79870044825625,11.554197120376575,85633121,102191581,Denmark,country
962,55.79892776742321,11.554776477523792,85682589,85633121,Zealand,region
962,55.79892776742321,11.554776477523792,1159297935,85682589,,localadmin
962,55.79892776742321,11.554776477523792,1394014017,85682589,Odsherred,localadmin
962,55.79892776742321,11.554776477523792,85633121,102191581,Denmark,country
965,55.00009396570891,12.521651486056914,85682589,85633121,Zealand,region
965,55.00009396570891,12.521651486056914,85633121,102191581,Denmark,country
965,55.00009396570891,12.521651486056914,1159297907,85682589,Jammerbugt,localadmin
965,55.00009396570891,12.521651486056914,1394013993,85682589,Vordingborg,localadmin
964,55.000174382931114,12.521658191579451,85682589,85633121,Zealand,region
964,55.000174382931114,12.521658191579451,85633121,102191581,Denmark,country
964,55.000174382931114,12.521658191579451,1159297907,85682589,Jammerbugt,localadmin
964,55.000174382931114,12.521658191579451,1394013993,85682589,Vordingborg,localadmin
971,56.89488107884143,9.228142310450727,101846111,1159297741,Ranum,locality
